,Name,FixedByID,count
0,advisor| service attention,prasanna-padmanabhan,1
1,aks| azure ps team,erich-wang,2
2,aks| service attention,mboersma,2
3,aks| service attention,unknown,1
4,analysis services| netcore| service attention,athipp| taiwu,1
5,api management,solankisamir,2
6,api management| doc - reference| service attention,solankisamir,1
7,api management| service attention,darrelmiller| solankisamir,1
8,api management| service attention,solankisamir,17
9,api management| service attention,unknown,6
10,api management| service attention| bug,solankisamir,2
11,api management| service attention| feature-request,solankisamir,1
12,app services,panchagnula,1
13,app services| automation| service attention| automation-pm,nking92| eamonoreilly,1
14,app services| azure ps team,markcowl,1
15,app services| azure ps team| functions| service attention,dcaro| ahmedelnably,1
16,app services| azure ps team| service attention,cormacpayne,1
17,app services| compute| network| service attention,unknown,1
18,app services| doc - reference| service attention,panchagnula,1
19,app services| feature-request,panchagnula,1
20,app services| more info label,panchagnula,1
21,app services| service attention,ahmedelnably,4
22,app services| service attention,btardif,1
23,app services| service attention,kotasudhakarreddy,1
24,app services| service attention,nking92,3
25,app services| service attention,nking92| panchagnula,3
26,app services| service attention,panchagnula,24
27,app services| service attention,panchagnula| madsd,1
28,app services| service attention,rramachand21-zz| panchagnula,1
29,app services| service attention,ruslany,1
30,app services| service attention,unknown,30
31,app services| service attention| feature-request,ahmedelnably,1
32,app services| service attention| feature-request,panchagnula,2
33,app services| service attention| feature-request,thejachoudary,1
34,app services| service attention| ps1xml,panchagnula,1
35,app services| service attention| test debt,nking92,1
36,app services| service attention| test debt,panchagnula,2
37,app services| service attention| test debt,vinisoto,1
38,arm| app services| investigate mag| service attention,ravbhatnagar,1
39,arm| app services| service attention,unknown,1
40,arm| arm - core| arm - core triaged| doc - reference| service attention| feature-request,ravbhatnagar| tiano2017,1
41,arm| arm - core| arm - core triaged| service attention| bug,ravbhatnagar| tiano2017,1
42,arm| arm - core| arm - core triaged| service attention| test debt| bug,tiano2017,1
43,arm| arm - core| doc - reference| service attention| bug,tiano2017,1
44,arm| arm - core| policy| service attention| bug,ravbhatnagar| tiano2017,1
45,arm| arm - core| service attention| bug,ravbhatnagar,1
46,arm| azure ps team,cormacpayne,2
47,arm| azure ps team,markcowl,1
48,arm| azure ps team| doc - internal| service attention,markcowl| kirthik| ravbhatnagar,1
49,arm| azure ps team| service attention,cormacpayne,2
50,arm| azure ps team| service attention,unknown,1
51,arm| azure ps team| service attention| test tsar,miyanni,1
52,arm| doc - internal| service attention,ravbhatnagar,7
53,arm| doc - internal| service attention,unknown,6
54,arm| doc - reference| service attention,cormacpayne,1
55,arm| investigate mag| service attention,unknown,1
56,arm| more info label| service attention,kwill-msft,1
57,arm| more info label| service attention,unknown,8
58,arm| more info label| service attention,vivsriaus,1
59,arm| policy| service attention| bug,ravbhatnagar| tiano2017,1
60,arm| policy| service attention| feature-request,ravbhatnagar,1
61,arm| pull request open| service attention,cormacpayne,1
62,arm| resource authorization| service attention| ps1xml,cormacpayne,1
63,arm| service attention,cormacpayne,8
64,arm| service attention,cormacpayne| tiano2017,1
65,arm| service attention,darshanhs90,1
66,arm| service attention,gandhiniraj,3
67,arm| service attention,markcowl,1
68,arm| service attention,markcowl| ravbhatnagar,1
69,arm| service attention,ravbhatnagar,20
70,arm| service attention,ravbhatnagar| cormacpayne,1
71,arm| service attention,ravbhatnagar| maddieclayton,1
72,arm| service attention,unknown,86
73,arm| service attention,vivsriaus,1
74,arm| service attention| feature-request,unknown,2
75,arm| service attention| versioning,unknown,1
76,authorization| azure ps team,veryearly| isra-fel,1
77,automation| azure ps team| compute| compute - vm| service attention| automation-dsc,vrdmr| hyonholee,1
78,automation| azure ps team| netcore| service attention,vrdmr| miyanni,1
79,automation| doc - reference| service attention,mgreenegit| ganeshmsazure| avkaur,1
80,automation| doc - reference| service attention| automation-dsc,vrdmr,1
81,automation| resolution - backlog| service attention| automation-modules| bug,vikram-m,1
82,automation| resolution - backlog| service attention| bug,vikram-m,1
83,automation| resolution - wont fix| service attention| automation-dsc,ganeshmsazure| nitinbps,1
84,automation| service attention,bpoe| safeermohammed,1
85,automation| service attention,cormacpayne,1
86,automation| service attention,ganeshmsazure,1
87,automation| service attention,ganeshmsazure| thomasyip-msft,1
88,automation| service attention,safeermohammed,1
89,automation| service attention,safeermohammed| eamonoreilly,2
90,automation| service attention,safeermohammed| najams,1
91,automation| service attention,sourabhguha| ganeshmsazure,1
92,automation| service attention,unknown,21
93,automation| service attention,vrdmr,5
94,automation| service attention,vrdmr| safeermohammed,3
95,automation| service attention,vrdmr| safeermohammed| najams,1
96,automation| service attention| automation-cheetah,safeermohammed,1
97,automation| service attention| automation-cheetah,safeermohammed| eamonoreilly,1
98,automation| service attention| automation-cheetah,unknown,5
99,automation| service attention| automation-cheetah,vrdmr,1
100,automation| service attention| automation-dsc,avkaur,1
101,automation| service attention| automation-dsc,ganeshmsazure| nitinbps,1
102,automation| service attention| automation-dsc,ganeshmsazure| thomasyip-msft,1
103,automation| service attention| automation-dsc,mgreenegit| eshaparmar| ganeshmsazure| avkaur,1
104,automation| service attention| automation-dsc,mgreenegit| ganeshmsazure,2
105,automation| service attention| automation-dsc,mgreenegit| ganeshmsazure| avkaur,2
106,automation| service attention| automation-dsc,nitinbps,1
107,automation| service attention| automation-dsc,sourabhguha| ganeshmsazure,2
108,automation| service attention| automation-dsc,vrdmr,2
109,automation| service attention| automation-dsc,vrdmr| avkaur,1
110,automation| service attention| automation-dsc,vrdmr| safeermohammed,1
111,automation| service attention| automation-elephant,vrdmr| anatolib| d1v38om83r,1
112,automation| service attention| automation-leads,finiteattractor,1
113,automation| service attention| automation-leads,unknown,2
114,automation| service attention| automation-pm,csand-msft| eamonoreilly,1
115,automation| service attention| feature-request,safeermohammed,1
116,automation| service attention| storage,csand-msft| ganeshmsazure,1
117,automation| service attention| test debt,finiteattractor,1
118,automation| service attention| test debt,sourabhguha,1
119,automation| service attention| test debt| automation-dsc,vrdmr,2
120,automation| service attention| up for grabs| automation-modules,safeermohammed| eamonoreilly| thomasyip-msft,1
121,automation| service attention| up for grabs| automation-modules,sourabhguha| ganeshmsazure| thomasyip-msft,1
122,azure ps team,cormacpayne,42
123,azure ps team,cormacpayne| vladimir-shcherbakov| maddieclayton| praries880,1
124,azure ps team,devigned,1
125,azure ps team,georgeedwards,1
126,azure ps team,hovsepm,10
127,azure ps team,hyonholee| singhkays| praries880,1
128,azure ps team,imtiazh,1
129,azure ps team,kirthik,1
130,azure ps team,maddieclayton,30
131,azure ps team,markcowl,31
132,azure ps team,markcowl| cormacpayne,1
133,azure ps team,miyanni,10
134,azure ps team,niander,1
135,azure ps team,praries880,4
136,azure ps team,sergey-shandar,10
137,azure ps team,shahabhijeet,5
138,azure ps team,solankisamir,1
139,azure ps team,twitchax,14
140,azure ps team,twitchax| maddieclayton,1
141,azure ps team,twitchax| praries880,1
142,azure ps team,unknown,141
143,azure ps team,vladimir-shcherbakov,3
144,azure ps team| azure stack| first week,cormacpayne,1
145,azure ps team| azure stack| module bootstrapper| service attention| versioning,bganapa,1
146,azure ps team| azure stack| service attention,markcowl,1
147,azure ps team| azure stack| service attention,unknown,2
148,azure ps team| batch| compliance| service attention| feature-request,dcaro,1
149,azure ps team| compute,maddieclayton,2
150,azure ps team| compute,unknown,1
151,azure ps team| compute| compute - extensions| service attention,hyonholee| maddieclayton| danielsollondon,1
152,azure ps team| compute| compute - vm,markcowl| niander,1
153,azure ps team| compute| compute - vm,niander,1
154,azure ps team| compute| engineering,unknown,1
155,azure ps team| compute| pull request open,hyonholee,1
156,azure ps team| compute| service attention,hyonholee| maddieclayton,1
157,azure ps team| compute| service attention,maddieclayton,1
158,azure ps team| compute| service attention| storage,hyonholee| blueww,1
159,azure ps team| convenience| netcore| ramp up,maddieclayton,1
160,azure ps team| customer experience,maddieclayton,3
161,azure ps team| customer experience,niander,1
162,azure ps team| customer experience| doc - conceptual| ramp up,markcowl,1
163,azure ps team| customer experience| experiment microscope| multi-sprint,maddieclayton,1
164,azure ps team| customer experience| multi-sprint| sprint candidate,unknown,2
165,azure ps team| customer experience| pull request open,maddieclayton,1
166,azure ps team| doc - conceptual,cormacpayne,1
167,azure ps team| doc - conceptual,unknown,1
168,azure ps team| doc - conceptual| doc - reference,miyanni,1
169,azure ps team| doc - internal,cormacpayne,1
170,azure ps team| doc - internal,markcowl,2
171,azure ps team| doc - internal,twitchax,1
172,azure ps team| doc - internal,unknown,3
173,azure ps team| doc - internal| engineering,cormacpayne,1
174,azure ps team| doc - internal| engineering,unknown,1
175,azure ps team| doc - internal| ramp up,vladimir-shcherbakov,1
176,azure ps team| doc - reference,maddieclayton,3
177,azure ps team| doc - reference,miyanni,1
178,azure ps team| doc - reference,praries880,1
179,azure ps team| doc - reference,twitchax,3
180,azure ps team| doc - reference| engineering,maddieclayton,1
181,azure ps team| doc - reference| pull request open,maddieclayton,1
182,azure ps team| engineering,cormacpayne,11
183,azure ps team| engineering,maddieclayton,4
184,azure ps team| engineering,maddieclayton| matthchr| antoniowmsft,1
185,azure ps team| engineering,markcowl| maddieclayton,2
186,azure ps team| engineering,miyanni,2
187,azure ps team| engineering,praries880,1
188,azure ps team| engineering,shahabhijeet,1
189,azure ps team| engineering,unknown,16
190,azure ps team| engineering,vladimir-shcherbakov,3
191,azure ps team| engineering| multi-sprint| netcore,miyanni,1
192,azure ps team| engineering| netcore,cormacpayne,1
193,azure ps team| engineering| netcore,markcowl,4
194,azure ps team| engineering| netcore,miyanni,2
195,azure ps team| engineering| netcore,unknown,2
196,azure ps team| engineering| pairing,markcowl,1
197,azure ps team| engineering| pull request open| second week,unknown,1
198,azure ps team| engineering| ramp up,unknown,1
199,azure ps team| engineering| second week,vladimir-shcherbakov,1
200,azure ps team| engineering| sprint candidate,maddieclayton,1
201,azure ps team| engineering| sprint candidate,unknown,2
202,azure ps team| engineering| test debt,cormacpayne,1
203,azure ps team| engineering| test tsar,unknown,1
204,azure ps team| experiment microscope,sergey-shandar,1
205,azure ps team| feature-request,cormacpayne,1
206,azure ps team| feature-request,unknown,2
207,azure ps team| first week,maddieclayton,1
208,azure ps team| first week,markcowl,1
209,azure ps team| first week,miyanni,1
210,azure ps team| first week| netcore,cormacpayne,1
211,azure ps team| first week| netcore,maddieclayton,1
212,azure ps team| first week| netcore,markcowl,1
213,azure ps team| generator| investigate mag,unknown,1
214,azure ps team| generator| multi-sprint,unknown,1
215,azure ps team| generator| multi-sprint| profiles,unknown,2
216,azure ps team| generator| p2| feature-request,wyunchi-ms,1
217,azure ps team| icm related item,cormacpayne,1
218,azure ps team| icm related item,unknown,2
219,azure ps team| icm related item| ramp up,maddieclayton,1
220,azure ps team| icm related item| ramp up,markcowl,1
221,azure ps team| investigate mag,cormacpayne,6
222,azure ps team| investigate mag,maddieclayton,1
223,azure ps team| investigate mag,markcowl,12
224,azure ps team| investigate mag,shahabhijeet,3
225,azure ps team| investigate mag,twitchax,2
226,azure ps team| investigate mag,twitchax| markcowl,1
227,azure ps team| investigate mag,unknown,16
228,azure ps team| investigate mag| feature-request,cormacpayne,1
229,azure ps team| investigate mag| monitor - activitylogs,gucalder| veryearly,1
230,azure ps team| investigate mag| more info label,artisticcheese,1
231,azure ps team| investigate mag| more info label,cormacpayne,1
232,azure ps team| investigate mag| more info label,ericbourland,1
233,azure ps team| investigate mag| more info label,tlisiecki,1
234,azure ps team| investigate mag| more info label,unknown,3
235,azure ps team| investigate mag| pairing,twitchax,1
236,azure ps team| investigate mag| recovery services| service attention,maddieclayton,1
237,azure ps team| keyvault,unknown,1
238,azure ps team| keyvault| customer-reported| feature-request,unknown,1
239,azure ps team| keyvault| more info label| customer-reported,jasonmv,1
240,azure ps team| keyvault| service attention,unknown,1
241,azure ps team| keyvault| service| feature-request| ps1xml,isra-fel,1
242,azure ps team| module bootstrapper| versioning,markcowl,1
243,azure ps team| module bootstrapper| versioning,viananth,1
244,azure ps team| more info label,abatishchev,1
245,azure ps team| more info label,ankushbindlish2,1
246,azure ps team| more info label,cefranlly,1
247,azure ps team| more info label,claudiafergus,1
248,azure ps team| more info label,d1v38om83r,1
249,azure ps team| more info label,ericbourland,1
250,azure ps team| more info label,ggirard07,1
251,azure ps team| more info label,huangpf,1
252,azure ps team| more info label,kduraira,1
253,azure ps team| more info label,markcowl,1
254,azure ps team| more info label,maximotrinidad,1
255,azure ps team| more info label,mxplusb,1
256,azure ps team| more info label,naveenkumarjagtab,1
257,azure ps team| more info label,paylocity-sflanders,1
258,azure ps team| more info label,poetzelsbergerfranz,1
259,azure ps team| more info label,sid1260,1
260,azure ps team| more info label,sndkr,1
261,azure ps team| more info label,somilganguly,1
262,azure ps team| more info label,tarjei99,1
263,azure ps team| more info label,toddrob,1
264,azure ps team| more info label,unknown,12
265,azure ps team| more info label,v-tisheg,1
266,azure ps team| more info label,wolfeno,1
267,azure ps team| more info label,xenalite,1
268,azure ps team| msal,unknown,1
269,azure ps team| multi-sprint,markcowl,1
270,azure ps team| multi-sprint,miyanni,1
271,azure ps team| multi-sprint| netcore,jasonrshaver,1
272,azure ps team| multi-sprint| netcore,markcowl,1
273,azure ps team| multi-sprint| netcore,miyanni,1
274,azure ps team| netcore,cormacpayne,4
275,azure ps team| netcore,maddieclayton,10
276,azure ps team| netcore,markcowl,4
277,azure ps team| netcore,markcowl| miyanni,1
278,azure ps team| netcore,markcowl| sphibbs,2
279,azure ps team| netcore,miyanni,18
280,azure ps team| netcore,sphibbs,1
281,azure ps team| netcore,twitchax,1
282,azure ps team| netcore,twitchax| miyanni,1
283,azure ps team| netcore,unknown,3
284,azure ps team| netcore| pull request open,maddieclayton,2
285,azure ps team| netcore| ramp up,cormacpayne,1
286,azure ps team| netcore| versioning,cormacpayne,1
287,azure ps team| netcore| versioning,markcowl,1
288,azure ps team| netcore| versioning,markcowl| bganapa,1
289,azure ps team| network| service attention,cormacpayne| praries880,1
290,azure ps team| network| service attention,mikhailtryakhov| praries880,1
291,azure ps team| p0,veryearly,1
292,azure ps team| pairing,cormacpayne,1
293,azure ps team| pairing,unknown,1
294,azure ps team| pairing| versioning,unknown,2
295,azure ps team| pull request open,maddieclayton,2
296,azure ps team| pull request open| test debt,cormacpayne,1
297,azure ps team| pull request open| test debt,maddieclayton,1
298,azure ps team| ramp up,maddieclayton,2
299,azure ps team| ramp up,miyanni,2
300,azure ps team| ramp up,unknown,1
301,azure ps team| ramp up,vladimir-shcherbakov,1
302,azure ps team| ramp up| sprint candidate,praries880,1
303,azure ps team| ramp up| versioning,miyanni,1
304,azure ps team| resource authorization,cormacpayne,1
305,azure ps team| resource authorization| service attention,unknown,1
306,azure ps team| service attention| storage,unknown,2
307,azure ps team| strategy library,sergey-shandar| praries880,1
